,PARTIDO,,,,PARTIDO,,,,PARTIDO,,PARTIDO,,PARTIDO,,PARTIDO,,,
,ALIANZA,,,,NACIONALISTA,,PARTIDO,,REVOLUCIONARIO,,REVOLUCIONARIO,,UNION,,VANGUARDIA,,,
,SOCIAL,,PARTIDO,,REVOCIONARIO,,REVOLUCIONARIO,,DOMINICANO,,SOCIAL,,CIVICA,,REVOLUCIONARIA,,TOTALES,
,DEMOCRATA,,NACIONAL,,DEMOCRATA,,DOMINICANO,,AUTENTICO,,CRISTIANO,,NACIONAL,,DOMINICANA,,CANDIDATURAS,
,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS,NACIONAL,OTRAS
LAS MATAS DE FARFAN,96,94,61,51,"4,816","5,950","1,305","1,317",,108,116,120,"2,328","2,330",79,79,"8,801","10,049"
SAN JUAN,254,245,189,175,"13,806","13,724","3,688","3,664",177,192,340,334,"2,747","2,727",214,210,"21,415","21,271"
DEPARTAMENTO DE SAN PEDRO DE MACORIS,"3,117","2,983",348,"1,101",435,323,"75,026","72,195",0,"1,299","1,617","1,763","25,854","25,296","1,406","1,841","107,803","106,801"
PROVINCIA DE EL SEIBO,550,535,168,167,131,126,"30,948","30,232",0,713,371,367,"6,466","6,384",676,693,"39,310","39,217"
EL SEIBO,181,166,94,93,79,74,"13,273","12,557",,368,177,173,"3,073","2,991",263,280,"17,140","16,702"
HATO MAYOR,40,40,26,26,33,33,"11,140","11,140",,169,130,130,948,948,160,160,"12,477","12,646"
MICHES,53,53,15,15,5,5,"2,703","2,703",,81,11,11,"1,455","1,455",97,97,"4,339","4,420"
SABANA DE LA MAR,276,276,33,33,14,14,"3,832","3,832",,95,53,53,990,990,156,156,"5,354","5,449"
PROVINCIA LA ALTAGRACIA,"2,407","2,319",0,618,108,0,"11,184","9,932",0,586,534,540,"6,809","6,818",0,0,"21,042","20,813"
HIGUEY,"2,030","1,930",,602,98,,"10,000","8,794",,561,509,519,"5,366","5,376",,,"18,003","17,782"
SAN RAFAEL DEL YUMA,377,389,,16,10,,"1,184","1,138",,25,25,21,"1,443","1,442",,,"3,039","3,031"
